D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_076.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_076.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_076.jpg, 0, 0, 0, 8.067816E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_176.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_176.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_176.jpg, 0, 0, 0, 7.962915E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_277.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_277.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_277.jpg, 0, 0, 0, 7.914243E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_378.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_378.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_378.jpg, 0, 0, 0, 7.807749E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_480.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_480.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_480.jpg, 0, 0, 0, 8.083518E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_580.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_580.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_580.jpg, 0, 0, 0, 7.789879E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_683.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_683.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_683.jpg, 0, 0, 0, 8.55488E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_783.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_783.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_783.jpg, 0, 0, 0, 7.78306E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_883.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_883.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_883.jpg, 0, 0, 0, 7.882853E-05
D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\center_2019_04_17_21_05_25_985.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\left_2019_04_17_21_05_25_985.jpg, D:\dev\Udemy\complete-self-driving-car\simulator-windows-64\IMG\right_2019_04_17_21_05_25_985.jpg, 0, 0, 0, 8.153349E-05
